term,description,category,subcategory,lang
Таудай талап,"Таудай - высокий, огромный. Талап - стремление, желание.",Спорт,Тренировочные залы,ru
Шалқар,"Просторный, бескрайний, безграничный.",Спорт,Тренировочные залы,ru
Тектілік,"Благородное качество, ценная сущность.",Спорт,Тренировочные залы,ru
Шыдам,"Выносливость, стойкость, сопротивляемость трудностям.",Спорт,Тренировочные залы,ru
Талант,"Способность, талант, мастерство.",Спорт,Тренировочные залы,ru
Алау,"Пламя, искра, символ мужества и силы.",Спорт,Тренировочные залы,ru
Жігерлену,"Черпание вдохновения, получение энергии.",Спорт,Тренировочные залы,ru
Белес,"Преодоление препятствия, переход на новый уровень.",Спорт,Тренировочные залы,ru
Асқар,"Очень высокая гора, символ высоты и возвышенности.",Спорт,Тренировочные залы,ru
Тұлға,"Индивидуальность, значимая и выдающаяся личность.",Спорт,Тренировочные залы,ru
Ұлағат,"Пример, наставление, образцовое качество.",Спорт,Тренировочные залы,ru
Сетер,"Прочный металл, символ устойчивости и крепости.",Спорт,Тренировочные залы,ru
Шымырлық,"Крепость здоровья, выносливость.",Спорт,Тренировочные залы,ru
Ептілік,"Гибкость, ловкость, умелые движения.",Спорт,Тренировочные залы,ru
Құлаш,"Широкий размах, масштабность.",Спорт,Тренировочные залы,ru
Серпін,"Импульс, динамика, стремление вперёд.",Спорт,Тренировочные залы,ru
Алғыр,"Смышленость, ум, быстрота мышления.",Спорт,Тренировочные залы,ru
Шымыр дене,"Закалённое, сильное телосложение.",Спорт,Тренировочные залы,ru
Күш-қуат,Физическая и духовная энергия.,Спорт,Тренировочные залы,ru
Үйлесім,"Баланс, равновесие, гармония.",Спорт,Тренировочные залы,ru
Қарқын,"Скорость, импульс, энергичное движение.",Спорт,Тренировочные залы,ru
Тепе-теңдік,"Равенство, устойчивость.",Спорт,Тренировочные залы,ru
Жүйріктік,"Быстрота, ловкость, способность к быстрому действию.",Спорт,Тренировочные залы,ru
Бәсеке,"Состязание, соревнование, конкуренция.",Спорт,Тренировочные залы,ru
Шырқау,"Восхождение к высоте, достижение вершины.",Спорт,Тренировочные залы,ru
Төзім,"Терпение, способность не сдаваться.",Спорт,Тренировочные залы,ru
Ірілік,"Великолепие, крупный масштаб, мощь.",Спорт,Тренировочные залы,ru
Бедел,"Уважение, честь, репутация.",Спорт,Тренировочные залы,ru
Қажымас,"Неутомимый, непрекращающийся.",Спорт,Тренировочные залы,ru
Сұрапыл,"Очень сильная, колоссальная мощь.",Спорт,Тренировочные залы,ru
Баянды,"Устойчивый, долгосрочный.",Спорт,Тренировочные залы,ru
Асау Арна,"Непокорный, необъезженный, неуправляемый. Русло- направление, путь развития.",Спорт,Тренировочные залы,ru
Озық мәре,"Передовой, ведущий, лучший, выдающийся. Финиш, место завершения соревнования.",Спорт,Тренировочные залы,ru
Белсенді,"Активный, целеустремлённый, в движении.",Спорт,Тренировочные залы,ru
Темірдей тәртіп,"Строгий порядок, дисциплина.",Спорт,Тренировочные залы,ru
Ұшқыр,"Очень быстрый, мгновенно действующий.",Спорт,Тренировочные залы,ru
Еркіндік,"Свобода, независимость, широкий простор.",Спорт,Тренировочные залы,ru
Болат,"Прочный металл, символ твёрдости.",Спорт,Тренировочные залы,ru
Табанды,"Крепкий, надёжный, непреклонный.",Спорт,Тренировочные залы,ru
Дарын,"Талант, способность, особая одарённость.",Спорт,Тренировочные залы,ru
Тасыған күш,"Избыточная энергия, подъём силы.",Спорт,Тренировочные залы,ru
Болмыс,"Внутренняя сущность, природное свойство.",Спорт,Тренировочные залы,ru
Өрім жас,"Молодой, энергичный, крепкий подросток.",Спорт,Тренировочные залы,ru
Тұғыр,"Основа, фундамент, прочная платформа.",Спорт,Тренировочные залы,ru
Ұлттық рух,"Национальная гордость, патриотизм.",Спорт,Тренировочные залы,ru
Өркендеу,"Развитие, процветание, прогресс.",Спорт,Тренировочные залы,ru
Тез қадам,"Тез – скорость, быстрота, оперативность. Қадам – шаг, идти, делать шаг, продвигаться.",Спорт,Тренировочные залы,ru
Аламан,"Большое соревнование, состязание.",Спорт,Тренировочные залы,ru
Шабуыл,"Стремление вперёд, действие, активность.",Спорт,Тренировочные залы,ru
Саңлақ,"Выдающаяся, талантливая, мастерская личность.",Спорт,Тренировочные залы,ru
Қарулы қайрат,"Вооружённый – сильный, мощный. Қайрат — в арабском языке означает стремление, энергия, усилия.",Спорт,Тренировочные залы,ru
Қиян,"Отдалённый, дальний, труднодоступный край.",Спорт,Тренировочные залы,ru
Берік,"Прочный, стойкий, выносливый.",Спорт,Тренировочные залы,ru
Ізгілік,"Доброта, человечность.",Спорт,Тренировочные залы,ru
Ілгері бас,"Вперёд, путь развития и достижения.",Спорт,Тренировочные залы,ru
Қуатты жан,"Очень сильный, полный энергии.",Спорт,Тренировочные залы,ru
Шынар,"Высокое дерево, символ величия.",Спорт,Тренировочные залы,ru
Шегінусіз жігер,"Непреклонность, решимость, отказ от отступления.",Спорт,Тренировочные залы,ru
Өсер өрен,"Талантливый, способный молодой человек.",Спорт,Тренировочные залы,ru
Тезім,"Быстрое действие, оперативное решение.",Спорт,Тренировочные залы,ru
Қашықтық,"Дистанция, дальний путь.",Спорт,Тренировочные залы,ru
Серпіліс,"Новый подъём, динамичный шаг.",Спорт,Тренировочные залы,ru
Алар асу,"Высота, этап, достижение рубежа.",Спорт,Тренировочные залы,ru
Тайталас,"Конкуренция, соперничество.",Спорт,Тренировочные залы,ru
Ширатылыс,"Закалка, укрепление, совершенствование.",Спорт,Тренировочные залы,ru
Нық сенім,"Уверенность, твёрдая позиция.",Спорт,Тренировочные залы,ru
Төзім сабыр,"Терпение, выдержка.",Спорт,Тренировочные залы,ru
Қосқанат,"Двойная поддержка, помощь с двух сторон.",Спорт,Тренировочные залы,ru
Қаракер,"Скаковая лошадь, символ скорости.",Спорт,Тренировочные залы,ru
Бекем бел,"Бекем – крепкий, прочный, твёрдый, уверенный в своих убеждениях. Бел – узкая часть человеческого тела ниже спины и выше таза.",Спорт,Тренировочные залы,ru
Қарымды қабілет,"Способный, сильный, деловой.",Спорт,Тренировочные залы,ru
Тұтас дене,"Целостный, единый, неделимый. Тело — всё физическое строение человека.",Спорт,Тренировочные залы,ru
Түлек,"Молодое поколение, поднимающееся на крыло.",Спорт,Тренировочные залы,ru
Әділ төрелік,"Справедливый — действующий беспристрастно, согласно истине. Судейство — руководство, решение, справедливость.",Спорт,Тренировочные залы,ru
Самал,"Лёгкий ветерок, бодрость.",Спорт,Тренировочные залы,ru
Шалқыма,"Развитие, процветание, расширение возможностей.",Спорт,Тренировочные залы,ru
Өрлік,"Высокий дух, стремление к вершинам.",Спорт,Тренировочные залы,ru
Жарқыл,"Вспышка молнии, внезапная мощь.",Спорт,Тренировочные залы,ru
Тірек күш,"Опора, поддержка.",Спорт,Тренировочные залы,ru
Сәйгүлік,"Быстрая лошадь, символ скорости.",Спорт,Тренировочные залы,ru
Қалаулы,"Избранный, желанный, любимый.",Спорт,Тренировочные залы,ru
Мықты өзек,"Основное направление, сущность.",Спорт,Тренировочные залы,ru
Кемел,"Завершённый, полноценный.",Спорт,Тренировочные залы,ru
Түрлену,"Изменение, обновление.",Спорт,Тренировочные залы,ru
Ғаламат,"Чудесный, великолепный.",Спорт,Тренировочные залы,ru
Қажыр-қайрат,"Энергичный, выносливый.",Спорт,Тренировочные залы,ru
Шарболат,"Очень твёрдая сталь, символ прочности.",Спорт,Тренировочные залы,ru
Жылдамдық,"Быстрое движение, стремительность.",Спорт,Тренировочные залы,ru
Қалыптау,"Приведение в порядок, систематизация.",Спорт,Тренировочные залы,ru
Мәре сызығы,Финальная точка соревнования.,Спорт,Тренировочные залы,ru
Жасампаз,"Творческий, способный к созданию.",Спорт,Тренировочные залы,ru
Қомдау күш,"Сбор, укрепление.",Спорт,Тренировочные залы,ru
Қайнар,"Источник, основное начало.",Спорт,Тренировочные залы,ru
Ұшталу,"Совершенствование, обострение, улучшение.",Спорт,Тренировочные залы,ru
Алымды қадам,"Смышлёный, способный быстро схватывать суть.",Спорт,Тренировочные залы,ru
Жампоз,"Лучший, особенно талантливый мастер.",Спорт,Тренировочные залы,ru
Жарқын болашақ,"Ясное, многообещающее будущее.",Спорт,Тренировочные залы,ru
Қамал,"Прочная крепость, укрепление.",Спорт,Тренировочные залы,ru
Тас түйін,Очень крепкая связь.,Спорт,Тренировочные залы,ru
Бірегей,"Уникальный, единственный в своём роде.",Спорт,Тренировочные залы,ru
Үздіксіз күрес,"Непрерывный, безостановочный.",Спорт,Тренировочные залы,ru
Арман жолы,Путь к цели.,Спорт,Тренировочные залы,ru
Қорғаулы Бекініс,Защита — действие глагола «защищать».,Спорт,Тренировочные залы,ru
Жаңа леп,"Новый заряд, импульс.",Спорт,Тренировочные залы,ru
Байрақ,"Флаг, символ гордости.",Спорт,Тренировочные залы,ru
Алдаспан,"Меч, знак храбрости.",Спорт,Тренировочные залы,ru
Салауатты өмір,"Здоровый, правильный образ жизни.",Спорт,Тренировочные залы,ru
Жанқияр,"Усердие, преданность делу.",Спорт,Тренировочные залы,ru
Тұрандық,Присущий тюркской культуре.,Спорт,Тренировочные залы,ru
Шарайна,"Железная кираса, разновидность доспехов.",Спорт,Секции,ru
Қайрат,"Сила, энергия, мощь.",Спорт,Секции,ru
Қайсар,"Упорный, настойчивый, смелый.",Спорт,Секции,ru
Қаһарман,"Мужчина, герой, сильный, могущественный.",Спорт,Секции,ru
Қуат,"Сила, энергия, упорство.",Спорт,Секции,ru
Тастүлек,"Сильное поколение, молодёжь.",Спорт,Секции,ru
Ұлан,"Младенец, ребёнок, воин, юноша, гражданин, ополченец.",Спорт,Секции,ru
Бекбатыр,"Сильный, могущественный герой.",Спорт,Секции,ru
Жасақ,"Вооружённые силы, войско.",Спорт,Секции,ru
Берен,"Означает благородство, сталь.",Спорт,Секции,ru
Түмен,Военно-административное объединение у тюрко-монгольских народов.,Спорт,Секции,ru
Топтасу,"Объединение, коллективное действие.",Спорт,Секции,ru
Ілгерілеу,"Движение вперёд, развитие.",Спорт,Секции,ru
Күрескерлік,"Подготовка к борьбе, смелость.",Спорт,Секции,ru
Төзімділік,"Терпение, выдержка.",Спорт,Секции,ru
Еркін қозғалыс,"Свободные, беспрепятственные движения.",Спорт,Секции,ru
Шебер қимыл,"Действие, выполненное с мастерством.",Спорт,Секции,ru
Айқын мақсат,Чётко определённая цель.,Спорт,Секции,ru
Шыңға шығу,Подъём на высоту.,Спорт,Секции,ru
Қайыспас арлан,"Не сдаваться, не отступать.",Спорт,Секции,ru
Жан серігі,"Верный спутник, друг.",Спорт,Секции,ru
Мұрат,"Цель, заветная мечта.",Спорт,Секции,ru
Тубасы,"Лидер, руководитель.",Спорт,Секции,ru
Тілектес,"Единомышленник, сторонник.",Спорт,Секции,ru
Дәрумен,"Полезное вещество, необходимое для здоровья.",Спорт,Секции,ru
Қашыққа жүгіру,"Бег на длинные дистанции, проверка выносливости.",Спорт,Секции,ru
Жеңісті күн,"Момент, принесший победу и успех.",Спорт,Секции,ru
Нық қадам,"Уверенный, крепкий шаг.",Спорт,Секции,ru
Белсенді топ,"Деятельная, целеустремлённая команда.",Спорт,Секции,ru
Тас буын,Прочная сплочённая группа.,Спорт,Секции,ru
Нәтиже,"Результат, достижение.",Спорт,Секции,ru
Нысана,"Мишень или знак, на который нацеливаются при стрельбе.",Спорт,Секции,ru
Тұғырнама,"Основа, фундамент.",Спорт,Секции,ru
Тәлімгер,"Учитель, наставник.",Спорт,Секции,ru
Күш сынау,"Состязание, проверка силы.",Спорт,Секции,ru
Бел асу,"Преодоление одного этапа, достижение успеха.",Спорт,Секции,ru
Құлшыныс,"Усердие, энергия, стремление.",Спорт,Секции,ru
Қаракөк,"Сильный, благородный; символ скакуна и скорости.",Спорт,Секции,ru
Соғды жел,"Сильный, интенсивный ветер.",Спорт,Секции,ru
Семсерлесу,"Бой на мечах, поединок.",Спорт,Секции,ru
Демеулік,"Поддержка, помощь.",Спорт,Секции,ru
Өнеге,"Пример, воспитательная история.",Спорт,Секции,ru
Жігер оты,"Внутренний дух, энергия.",Спорт,Секции,ru
Атпал,"Крупный, крепкий, сильный.",Спорт,Секции,ru
Түкті жүрек,"Смелость, отвага.",Спорт,Секции,ru
Дәнекер,"Связующее звено, мост.",Спорт,Секции,ru
Тік жүріс,"Уверенный, прямой шаг.",Спорт,Секции,ru
Үздік өнер,Высший уровень мастерства.,Спорт,Секции,ru
Тас қамал,"Очень прочная, непоколебимая защита.",Спорт,Секции,ru
Шабытты жеңіс,"Победа, достигнутая с вдохновением и воодушевлением.",Спорт,Секции,ru
Алтай облысы,"Крупная горная система и горный регион, расположенный на стыке современных границ Казахстана, Монголии, Китая и России. Этот регион издавна был местом проживания тюркских народов. Великий казахский поэт Мағжан Жұмабаев воспевал Алтай в своих стихах: «Горная вершина, пуп Земли – Памир, Алтай… Сладкая вода, плодородная земля, Алтай, где текли золотые реки». Горы Алтай знамениты своим богатством цветных и драгоценных металлов, и они получили мировую известность как один из крупнейших регионов с богатейшими залежами полезных ископаемых. С точки зрения лингвистики, слово «Алтай» связано с древнетюркским словом алтан, что означает «золото». Термин «алтайские языки» используется для обозначения группы языков восточных народов, объединяющих их по языковому признаку. Крупная ветвь алтайских языков – это тюркские языки, в число которых входят азербайджанский, турецкий, туркменский, гагаузский, караимский, карачаево-балкарский, кумыкский, казахский, киргизский, каракалпакский, татарский, ногайский, тувинский, хакасский, узбекский, уйгурский, шорский, чувашский, якутский, алтайский и башкирский языки. Алтай издавна является символом богатства и исторической значимости. Для казахского народа это родина, священная земля предков. Многие казахи продолжают жить в этом регионе, сохраняя связь с этой древней землей.","Области, города, района, улицы",Области,ru
Берел облысы,"Восточно-Казахстанская область, являющаяся частью территории гор Алтая, чрезвычайно богата историческими событиями и памятниками, отражающими общечеловеческую цивилизацию. Здесь сохранилось множество древнетюркских наследий, повествующих об истории наших предков. Эти свидетельства включают такие памятники, как ""Берельские курганы"" в Катон-Карагайском районе, ""Шиликтинские курганы"" в Зайсане, ""Аблайкитская крепость-храм"" в Уландском районе, памятник ""Кырык-Унгир"" в Абайском районе и археологические работы на ""Елеке-Сазе"" в Тарбагатае. Исследование этих объектов в рамках государственной программы ""Культурное наследие"" внесло значительный вклад в изучение культурной и духовной истории человечества. Результаты археологических раскопок открыли новые страницы истории этого региона и страны. Особенно известными стали находки из Шиликтинских и Берельских курганов. Обнаруженные здесь изделия из золота, относящиеся к ""скифо-сибирскому звериному стилю"" или искусству и культуре сакской цивилизации, получили всемирную известность.","Области, города, района, улицы",Области,ru
Ботай облысы,"Айыртау, который хранит в себе древнюю историю, привлек внимание всего мира благодаря культуре, известной как «Ботайская культура». Этот уникальный археологический объект расположен на берегу реки Иман-Борлык, на юго-востоке от села Никольское Айыртауского района Северо-Казахстанской области. Ботайская культура отражает эпоху энеолита в степном регионе между реками Урал и Иртыш и датируется III–II тысячелетиями до нашей эры. Это культура племен, населявших эту территорию в эпоху энеолита. Мировую известность «Ботайской культуре» принес ученый В. Зайберт. Он тщательно изучил методы изготовления артефактов из музеев, организовал экспедицию в Ботай и провел раскопки. В результате его исследований было обнаружено более 150 поселений и около 120 тысяч предметов. Самой важной находкой стали кости лошадей, которых было найдено более 70 тысяч. Эти находки доказали, что Ботай был древним местом обитания людей и привлекли к нему внимание мировой общественности. Исследования подтвердили, что «Ботайская культура» является одной из самых древних и уникальных культур на территории Казахстана.","Области, города, района, улицы",Области,ru
Айыртау облысы,"Место, где были обнаружены памятники знаменитой Ботайской культуры, расположено в Северо-Казахстанской области.","Области, города, района, улицы",Области,ru
Сарыарқа облысы,"Священная Великая степь – наследие, оставленное нам предками! Именно поэтому Сарыарка и казахский народ – это два неразделимых понятия. Сарыарка – это не только священная прародина и обильная земля, но и символ бескрайних просторов, щедрой широты, богатой культуры и искусства. Это зеркало истории нашей нации и неиссякаемое хранилище ценностей.","Области, города, района, улицы",Области,ru
Кенді Алтай,"Историко-географическое название западной части Алтая. Основная часть расположена на территории Восточно-Казахстанской области, а небольшая часть – на территории Республики Алтай в Российской Федерации.","Области, города, района, улицы",Название городов,ru
Ақбауыр,"Уникальный природно-исторический памятник в верховьях Иртыша. Открытое святилище под открытым небом, ориентированное на запад. Это место использовалось для погребальных обрядов, жертвоприношений и других ритуалов. Обряды, проводившиеся рядом с горами Ақ бауыр и Қызыл тас, возможно, связаны с одним из древнейших видов культа – почитанием гор.","Области, города, района, улицы",Название городов,ru
Алаш,"Древнее слово казахского народа. Оно выражает такие понятия, как единство, сплочённость, целостность и величие.","Области, города, района, улицы",Название городов,ru
Қоржынтүбек,"Город Қоржынтүбек был основан в 1956 году. Позднее название Қоржынтүбек было изменено на Приозёрск, и этот населённый пункт стал административным центром военного полигона.","Области, города, района, улицы",Название городов,ru
Жайық,"Средневековое городище Жайық, расположенное в 12 км к югу от Уральска, на склоне, образованном руслом реки Шаган.","Области, города, района, улицы",Название городов,ru
Шерғала,"Город-крепость, построенный на вершине горы в VIII-IX веках во времена арабских завоеваний. Из-за сходства с фигурой льва был назван «Арыстан-кала».","Области, города, района, улицы",Название городов,ru
Арыстан баб,"Святой, сыгравший важную роль в распространении ислама. Его мавзолей, расположенный в Туркестанской области, является местом паломничества.","Области, города, района, улицы",Название городов,ru
Бөкей ордасы,"Ханство, образованное в начале XIX века к западу от реки Жайык, также известное как Внутренняя Орда.","Области, города, района, улицы",Название городов,ru
Бұқтырма,"Река и водохранилище в Восточном Казахстане, известное своими природными богатствами и значением в гидроэнергетике.","Области, города, района, улицы",Название городов,ru
Ерейментау,"Горный регион Казахстана, известный своей красотой и природными богатствами.","Области, города, района, улицы",Название городов,ru
Ертіс,"Крупная река, протекающая через территорию Казахстана и России. Полноводная река имеет важное историческое и экономическое значение.","Области, города, района, улицы",Название городов,ru
Қойлық,"Древний город, расположенный на территории современной Алматинской области. Был важным культурным и торговым центром.","Области, города, района, улицы",Название городов,ru
Қорғалжын,"Заповедник в Казахстане, созданный для охраны природных богатств и экологии, с уникальной флорой и фауной.","Области, города, района, улицы",Название городов,ru
Қордай,"Южный район Казахстана, известный историческими событиями и культурными памятниками.","Области, города, района, улицы",Название городов,ru
Қоянды,"Историческое и культурно значимое место Казахстана, бывший торговый узел и транспортный центр.","Области, города, района, улицы",Название городов,ru
Құсмұрын,"Географическое название с историко-культурным значением, расположенное в северном регионе Казахстана.","Области, города, района, улицы",Название городов,ru
Марқакөл,"Природный водоём в Восточно-Казахстанской области, известный своей экологией и живописной природой.","Области, города, района, улицы",Название городов,ru
Мойынты,"Река и горный регион в Жамбылской области, известные своими историческими местами и сельским хозяйством.","Области, города, района, улицы",Название городов,ru
Нарын,"Река и природный регион, расположенный в центральной части Казахстана.","Области, города, района, улицы",Название городов,ru
Нұра,"Географическое и историко-культурное название в Казахстане, часто связанное с рекой Нура, районом или населёнными пунктами. Символизирует гармонию природы и особенности географического расположения.","Области, города, района, улицы",Название городов,ru
Отырар,"Древний средневековый город, важный торговый и культурный центр на Великом Шёлковом пути. История Отрара богата и полна легенд.","Области, города, района, улицы",Название городов,ru
Сайрам,"Древний город в Туркестанской области, игравший значительную роль как торговый центр на Шёлковом пути.","Области, города, района, улицы",Название городов,ru
Сарайшық,Исторически значимый торговый город на берегу Сырдарьи. Сарайшық был перекрёстком различных культур и торговых путей.,"Области, города, района, улицы",Название городов,ru
Сауран,"Средневековый город в Туркестанской области, бывший важным торговым и культурным центром Центральной Азии.","Области, города, района, улицы",Название городов,ru
Талас,"Река между Казахстаном и Кыргызстаном, известная также местом знаменитой Таласской битвы. Здесь найдены письменные памятники, известные как «Таласские надписи».","Области, города, района, улицы",Название городов,ru
Талғар,Историческое и географическое название на юге Казахстана. Талгар – город в Алматинской области и название горной системы в его окрестностях.,"Области, города, района, улицы",Название городов,ru
Ұлытау,"Регион Казахстана с важным историческим, культурным и природным значением. Улытау является священным местом, сыгравшим ключевую роль в формировании казахской государственности.","Области, города, района, улицы",Название городов,ru
Шардара,"Город в Туркестанской области, известный как центр сельского хозяйства и водного хозяйства благодаря Шардаринскому водохранилищу.","Области, города, района, улицы",Название городов,ru
Алмалы,"Административно-территориальное деление города Алматы. Алма – яблоня или её плод. Суффикс лы означает обладающий яблонями. Название Алмалы символизирует места, богатые яблоневыми садами.","Области, города, района, улицы",Малые города,ru
Алтынемел,"Национальный природный парк Казахстана. Расположен в Алматинской области, известен своими природными ландшафтами и «Поющим барханом».","Области, города, района, улицы",Малые города,ru
Жәңгір хан,"Хан Бокей Орды, занимавшийся просветительской деятельностью и проведением реформ.","Области, города, района, улицы",Малые города,ru
Жерұйық,"Земля благополучия, которую искал Асан Кайгы, упоминается в казахских легендах.","Области, города, района, улицы",Малые города,ru
Қозыбасы,"Значимое место в национальной истории казахов. Связано с походами батыров и защитников родины, считается местом основания Казахского ханства.","Области, города, района, улицы",Малые города,ru
Құсни-Қорлан,"Казахская народная песня, описывающая любовь и трагическую судьбу. Это произведение является частью духовно-культурного наследия казахов и ярким примером любовной лирики. В песне повествуется о любви и судьбе двух героев — Кусни и Корлана.","Области, города, района, улицы",Малые города,ru
Құтлық қаған,Великий правитель Тюркского каганата. Способствовал укреплению и процветанию государства.,"Области, города, района, улицы",Малые города,ru
Құтты білік,"Средневековое тюркское философское произведение, посвящённое вопросам управления государством и смысла жизни. Автором является Жусип Баласагуни.","Области, города, района, улицы",Малые города,ru
Майқы би,Выдающаяся личность в историко-культурном наследии казахов. Один из древних тюркских биев.,"Области, города, района, улицы",Малые города,ru
Мақпал-Сегіз,"Герой казахского фольклора, символ любви и храбрости. В легендах описываются как подвиги, так и тонкая душевная организация Макпал-Сегиза.","Области, города, района, улицы",Малые города,ru
Мөде хан,"Великий правитель гуннского государства и один из его основателей. Играет важную роль в истории тюрков и монголов, известен как объединитель кочевых племён и создатель могущественного государства.","Области, города, района, улицы",Малые города,ru
Нұралы хан,"Хан Казахского ханства, справедливый и близкий к народу правитель, известный своими социальными реформами.","Области, города, района, улицы",Малые города,ru
Ойсылқара,В казахской и тюркской культуре это имя занимает важное место. Считается покровителем одного из четырёх видов домашнего скота – верблюдов.,"Области, города, района, улицы",Малые города,ru
Оспан батыр,"Один из батыров, боровшихся за независимость Казахстана в начале XX века. Известен среди казахов Алтая.","Области, города, района, улицы",Малые города,ru
Рәбия бегім,"Внучка Эмира Тимура, дочь Улугбека, жена Абулхаира. Важная фигура в истории Казахстана, показывающая роль женщин в управлении государством.","Области, города, района, улицы",Малые города,ru
Беркі сарайы,"Средневековый город на территории Казахстана, расположенный вблизи торговых путей Средней Азии.","Области, города, района, улицы",Малые города,ru
Саурық батыр,"Один из известных казахских батыров, боровшийся за свободу и независимость народа.","Области, города, района, улицы",Малые города,ru
Сүйінші,"Казахское слово, выражающее радость или счастливую весть.","Области, города, района, улицы",Малые города,ru
Сыпатай батыр,Исторический казахский батыр. Сыпатай сражался против врагов и защищал свой народ.,"Области, города, района, улицы",Малые города,ru
Тайкелтір би,"Известный казахский бий, оратор и поэт. Прославился своей справедливостью, находчивостью и способностью разрешать споры несколькими словами.","Области, города, района, улицы",Малые города,ru
Таймас батыр,"Казахский батыр, участник восстания Кенесары и его советник.","Области, города, района, улицы",Малые города,ru
Телқоңыр,"Кюй Сугура, в котором изображается казахский аул, кобылица с жеребёнком и вся красота деревенской жизни.","Области, города, района, улицы",Малые города,ru
